Provider,State,Weight,Technology,Download Bandwidth Mbps,Upload Bandwidth Mbps,Usage Allowance GB,Monthly Charge,Other Mandatory Charge,Surcharge,Total Charge,Total Charge Spread
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"T-Mobile USA, Inc.",ALABAMA,3544.66875,Fixed wireless,2,0.2,150.0,77.5,0.0,1.4,78.9,5.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"T-Mobile USA, Inc.",ALABAMA,2363.1125,Fixed wireless,2,0.2,100.0,52.5,0.0,1.4,53.9,5.0
"Google Fiber Alabama, LLC",ALABAMA,8580.225,Fiber,2000,1000.0,inf,100.0,2.0,0.0,102.0,0.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Google Fiber Alabama, LLC",ALABAMA,8580.225,Fiber,1000,1000.0,inf,70.0,1.4,0.0,71.4,0.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"T-Mobile USA, Inc.",ALABAMA,3544.66875,Fixed wireless,2,0.2,200.0,102.5,0.0,1.4,103.9,5.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"T-Mobile USA, Inc.",ALABAMA,3544.66875,Fixed wireless,2,0.2,150.0,77.5,0.0,1.4,78.9,5.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Google Fiber Alabama, LLC",ALABAMA,8580.225,Fiber,1000,1000.0,inf,70.0,1.4,0.0,71.4,0.0
"Google Fiber Alabama, LLC",ALABAMA,8580.225,Fiber,2000,1000.0,inf,100.0,2.0,0.0,102.0,0.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"T-Mobile USA, Inc.",ALABAMA,2363.1125,Fixed wireless,2,0.2,100.0,52.5,0.0,1.4,53.9,5.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,500,50.0,inf,59.95,0.0,1.0,60.95,0.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Fiber,1000,1000.0,inf,99.0,0.0,1.0,100.0,0.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
GCI Communication Corp.,ALASKA,1011.74857142857,Cable,500,20.0,600.0,109.99,0.0,0.0,109.99,0.0
GCI Communication Corp.,ALASKA,1011.74857142857,Cable,1000,40.0,1000.0,159.99,0.0,0.0,159.99,0.0
GCI Communication Corp.,ALASKA,646.674285714286,Cable,1000,40.0,1000.0,159.99,0.0,0.0,159.99,0.0
GCI Communication Corp.,ALASKA,985.6,Cable,1000,40.0,1000.0,159.99,0.0,0.0,159.99,0.0
